,method,Ntrain,kernel,train_error,test_error
0,GPR,20,1**2 * RBF(length_scale=10),0.0,0.30594635152879385
1,GPR,50,1**2 * RBF(length_scale=10),0.0,0.15932074031673346
2,GPR,100,1**2 * RBF(length_scale=10),0.0,0.0811235513651542
3,GPR,500,1**2 * RBF(length_scale=10),0.0,0.01773323053199691
4,GPR,20,DotProduct(sigma_0=1),0.0,0.4430688426186457
5,GPR,50,DotProduct(sigma_0=1),0.0,0.6630414043121541
6,GPR,100,DotProduct(sigma_0=1),0.0,0.2539776075427225
7,GPR,500,DotProduct(sigma_0=1),0.04742818971275885,0.08532510922641992
8,GPR,20,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.4526355280435191
9,GPR,50,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.6941423392482351
10,GPR,100,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.003367003367003368,0.2889412689059124
11,GPR,500,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.03740814963259853,0.0827550758159856
12,GPR,20,1**2 * RBF(length_scale=1),0.0,0.39692365409866814
13,GPR,50,1**2 * RBF(length_scale=1),0.0,0.1684792978439229
14,GPR,100,1**2 * RBF(length_scale=1),0.0,0.10194460813199764
15,GPR,500,1**2 * RBF(length_scale=1),0.0,0.02081727062451812
16,GPR,20,1**2 * RBF(length_scale=7.5),0.0,0.37760270118176703
17,GPR,50,1**2 * RBF(length_scale=7.5),0.0,0.1595115435985499
18,GPR,100,1**2 * RBF(length_scale=7.5),0.0,0.06717737183264584
19,GPR,500,1**2 * RBF(length_scale=7.5),0.0,0.012336160370084807
20,GPR,20,1**2 * RBF(length_scale=25),0.0,0.3676608516225849
21,GPR,50,1**2 * RBF(length_scale=25),0.0,0.1511161991986262
22,GPR,100,1**2 * RBF(length_scale=25),0.0,0.07051659791789433
23,GPR,500,1**2 * RBF(length_scale=25),0.0,0.015677203803649446
24,GPR,20,1**2 * RBF(length_scale=75),0.0,0.31288688801350595
25,GPR,50,1**2 * RBF(length_scale=75),0.0,0.14233924823506966
26,GPR,100,1**2 * RBF(length_scale=75),0.0,0.07915930072677274
27,GPR,500,1**2 * RBF(length_scale=75),0.0,0.017219223849910047
28,GPR,20,DotProduct(sigma_0=0),0.0,0.4261864565747514
29,GPR,50,DotProduct(sigma_0=0),0.0,0.6956687655027667
30,GPR,100,DotProduct(sigma_0=0),0.0,0.23158515026517384
31,GPR,500,DotProduct(sigma_0=0),0.04475617902471609,0.09663325623233104
32,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.4818983305196023
33,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.7218088151116199
34,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.2632095855431153
35,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.04275217100868404,0.08866615265998458
36,GPR,20,DotProduct(sigma_0=1e-05),0.0,0.4207465766272744
37,GPR,50,DotProduct(sigma_0=1e-05),0.0,0.7443236023659606
38,GPR,100,DotProduct(sigma_0=1e-05),0.0,0.2691023374582597
39,GPR,500,DotProduct(sigma_0=1e-05),0.04542418169672678,0.08969416602415832
40,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.3822922528606265
41,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.7403167334478153
42,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.2368886269888038
43,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.032064128256513016,0.08352608583911593
44,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.4072406677921591
45,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.7107422247662659
46,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.003367003367003368,0.2357100766057749
47,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.03607214428857715,0.0819840657928553
48,GPR,20,DotProduct(sigma_0=10),0.0,0.4177452635528044
49,GPR,50,DotProduct(sigma_0=10),0.0,0.7676016027475674
50,GPR,100,DotProduct(sigma_0=10),0.003367003367003368,0.2013356904340994
51,GPR,500,DotProduct(sigma_0=10),0.04342017368069472,0.08429709586224621
52,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.4640780341399362
53,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.7513833237931693
54,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.2288351993714398
55,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.035404141616566465,0.0781290156772038
56,GPR,20,DotProduct(sigma_0=100),0.0,0.3866066404051772
57,GPR,50,DotProduct(sigma_0=100),0.0,0.7637855371112384
58,GPR,100,DotProduct(sigma_0=100),0.0,0.2649774111176586
59,GPR,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.3858563121365597
60,GPR,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.7122686510207975
61,GPR,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.2512276566489884
62,GPR,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.02939211756847028,0.08378308918015935
63,GPC,20,1**2 * RBF(length_scale=10),0.0,0.3262052147814669
64,GPC,50,1**2 * RBF(length_scale=10),0.0,0.15874833047128412
65,GPC,100,1**2 * RBF(length_scale=10),0.0,0.09133765468473776
66,GPC,500,1**2 * RBF(length_scale=10),0.0,0.026985350809560524
67,GPC,20,DotProduct(sigma_0=1),0.0,0.413618458075408
68,GPC,50,DotProduct(sigma_0=1),0.0,0.19194810150734595
69,GPC,100,DotProduct(sigma_0=1),0.0,0.1292476920054999
70,GPC,500,DotProduct(sigma_0=1),0.0,0.0765869956309432
71,GPC,20,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.3089476646032639
72,GPC,50,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.20644915092539592
73,GPC,100,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0,0.11451581221763894
74,GPC,500,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.000668002672010688,0.06913389874068364
75,GPC,20,1**2 * RBF(length_scale=1),0.0,0.9003939223410242
76,GPC,50,1**2 * RBF(length_scale=1),0.0,0.8994466704827322
77,GPC,100,1**2 * RBF(length_scale=1),0.0,0.9004124926340601
78,GPC,500,1**2 * RBF(length_scale=1),0.0,0.895656643536366
79,GPC,20,1**2 * RBF(length_scale=7.5),0.0,0.4085537422622397
80,GPC,50,1**2 * RBF(length_scale=7.5),0.0,0.1675252814348407
81,GPC,100,1**2 * RBF(length_scale=7.5),0.0,0.08878412885484188
82,GPC,500,1**2 * RBF(length_scale=7.5),0.0,0.02081727062451812
83,GPC,20,1**2 * RBF(length_scale=25),0.0,0.5304820859125868
84,GPC,50,1**2 * RBF(length_scale=25),0.0,0.21217324937988927
85,GPC,100,1**2 * RBF(length_scale=25),0.016835016835016838,0.17422903162443526
86,GPC,500,1**2 * RBF(length_scale=25),0.020708082832331328,0.04446157800051402
87,GPC,20,1**2 * RBF(length_scale=75),0.4035087719298245,0.7613956105796286
88,GPC,50,1**2 * RBF(length_scale=75),0.2857142857142857,0.5546651402404121
89,GPC,100,1**2 * RBF(length_scale=75),0.1851851851851852,0.3912787271655863
90,GPC,500,1**2 * RBF(length_scale=75),0.06613226452905811,0.09534823952711384
91,GPC,20,DotProduct(sigma_0=0),0.0,0.365222284749578
92,GPC,50,DotProduct(sigma_0=0),0.0,0.17782865865292885
93,GPC,100,DotProduct(sigma_0=0),0.0,0.1151050874091534
94,GPC,500,DotProduct(sigma_0=0),0.0,0.08095605242868156
95,GPC,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.3830425811292441
96,GPC,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.16370921579851172
97,GPC,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.13042624238852876
98,GPC,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.0,0.07144692881007453
99,GPC,20,DotProduct(sigma_0=1e-05),0.0,0.4599512286625399
100,GPC,50,DotProduct(sigma_0=1e-05),0.0,0.1879412325892005
101,GPC,100,DotProduct(sigma_0=1e-05),0.0,0.12865841681398546
102,GPC,500,DotProduct(sigma_0=1e-05),0.0,0.0804420457465947
103,GPC,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.4023635340461452
104,GPC,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.15722190421675253
105,GPC,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.12080141426045965
106,GPC,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.0,0.06861989205859675
107,GPC,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.3217032451697618
108,GPC,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.19118488838008013
109,GPC,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.13003339226085248
110,GPC,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.0,0.07324595219737856
111,GPC,20,DotProduct(sigma_0=10),0.0,0.3406490339523542
112,GPC,50,DotProduct(sigma_0=10),0.0,0.1619919862621637
113,GPC,100,DotProduct(sigma_0=10),0.0,0.10783736004714203
114,GPC,500,DotProduct(sigma_0=10),0.0,0.07247494217424827
115,GPC,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.35096604764584505
116,GPC,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.17630223239839726
117,GPC,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.0,0.1231585150265174
118,GPC,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.001336005344021376,0.06604985864816243
119,GPC,20,DotProduct(sigma_0=100),0.0,0.3524667041830801
120,GPC,50,DotProduct(sigma_0=100),0.0,0.2524327418431597
121,GPC,100,DotProduct(sigma_0=100),0.0,0.14240817128265568
122,GPC,500,DotProduct(sigma_0=100),0.0,0.07401696222050888
123,GPC,20,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.338585631213656
124,GPC,50,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.1789734783438275
125,GPC,100,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.0,0.11058731094087608
126,GPC,500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.002004008016032064,0.05525571832433822
127,GPR,1000,1**2 * RBF(length_scale=10),0.0,0.011292346298619823
128,GPR,1500,1**2 * RBF(length_scale=10),0.0,0.004489337822671156
129,GPR,1000,DotProduct(sigma_0=1),0.3183183183183183,0.3370974487662066
130,GPR,1000,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.04771438104771438,0.07277289836888333
131,GPR,1500,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.050255726039581936,0.05836139169472504
132,GPR,1000,1**2 * RBF(length_scale=1),0.0,0.011710581346716856
133,GPR,1500,1**2 * RBF(length_scale=1),0.0,0.015712682379349047
134,GPR,1000,1**2 * RBF(length_scale=7.5),0.0,0.00836470096194061
135,GPR,1500,1**2 * RBF(length_scale=7.5),0.0,0.013468013468013466
136,GPR,1000,1**2 * RBF(length_scale=25),0.0,0.00878293601003764
137,GPR,1500,1**2 * RBF(length_scale=25),0.0,0.007856341189674524
138,GPR,1000,1**2 * RBF(length_scale=75),0.0,0.009619406106231704
139,GPR,1500,1**2 * RBF(length_scale=75),0.0,0.006734006734006733
140,GPR,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.04938271604938271,0.05938937682977834
141,GPR,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.05158994885479208,0.061728395061728385
142,GPR,1000,DotProduct(sigma_0=1e-05),0.344678011344678,0.3626097867001255
143,GPR,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.04604604604604605,0.06608113759933082
144,GPR,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.04780965087836335,0.0808080808080808
145,GPR,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.04304304304304304,0.07151819322459223
146,GPR,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.05158994885479208,0.060606060606060615
147,GPR,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.04704704704704705,0.06649937264742786
148,GPR,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.049588614631976884,0.06734006734006734
149,GPR,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.04337671004337671,0.07193642827268926
150,GPR,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.05247943073159885,0.06846240179573512
151,GPC,1000,1**2 * RBF(length_scale=10),0.0,0.01463822668339607
152,GPC,1500,1**2 * RBF(length_scale=10),0.0,0.013468013468013473
153,GPC,1000,DotProduct(sigma_0=1),0.007674341007674341,0.0656629025512338
154,GPC,1500,DotProduct(sigma_0=1),0.00822770736046253,0.04826038159371493
155,GPC,1000,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.0066733400066733405,0.046842325386867424
156,GPC,1500,DotProduct(sigma_0=1) + WhiteKernel(noise_level=10),0.00978430064487436,0.0505050505050505
157,GPC,1000,1**2 * RBF(length_scale=1),0.0,0.8937682977833543
158,GPC,1500,1**2 * RBF(length_scale=1),0.0,0.8967452300785634
159,GPC,1000,1**2 * RBF(length_scale=7.5),0.0,0.010874111250522794
160,GPC,1500,1**2 * RBF(length_scale=7.5),0.0,0.010101010101010102
161,GPC,1000,1**2 * RBF(length_scale=25),0.01334668001334668,0.030949393559180256
162,GPC,1500,1**2 * RBF(length_scale=25),0.01445408049810985,0.022446689113355785
163,GPC,1000,1**2 * RBF(length_scale=75),0.05839172505839173,0.07737348389795065
164,GPC,1500,1**2 * RBF(length_scale=75),0.056037358238825885,0.05948372615039281
165,GPC,1000,DotProduct(sigma_0=0),0.0046713380046713385,0.0698452530322041
166,GPC,1500,DotProduct(sigma_0=0),0.00956193017567267,0.05387205387205389
