,method,Ntrain,kernel,train_error,test_error
167,GPC,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.006006006006006005,0.056461731493099125
168,GPC,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=0),0.006671114076050699,0.05274971941638608
169,GPC,1000,DotProduct(sigma_0=1e-05),0.007674341007674341,0.06189878711836051
170,GPC,1500,DotProduct(sigma_0=1e-05),0.01156326439848788,0.06397306397306397
171,GPC,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.006006006006006006,0.05855290673358428
172,GPC,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1e-05),0.005781632199243941,0.05162738496071829
173,GPC,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.005005005005005005,0.0644081974069427
174,GPC,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=1),0.00511452079163887,0.061728395061728385
175,GPC,1000,DotProduct(sigma_0=10),0.004004004004004004,0.061898787118360526
176,GPC,1500,DotProduct(sigma_0=10),0.00578163219924394,0.06958473625140292
177,GPC,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.004004004004004004,0.05604349644500209
178,GPC,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=10),0.004447409384033801,0.04489337822671157
179,GPC,1000,DotProduct(sigma_0=100),0.004004004004004004,0.0602258469259724
180,GPC,1500,DotProduct(sigma_0=100),0.00644874360684901,0.04938271604938272
181,GPC,1000,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.010343677010343676,0.03847762442492681
182,GPC,1500,DotProduct(sigma_0=10) + WhiteKernel(noise_level=100),0.010451412052479429,0.03142536475869809
183,GPC,20,"Matern(length_scale=1, nu=1.5)",0.0,0.7833427124366911
184,GPC,50,"Matern(length_scale=1, nu=1.5)",0.0,0.647586338485022
185,GPC,100,"Matern(length_scale=1, nu=1.5)",0.0,0.4853663327440581
186,GPC,500,"Matern(length_scale=1, nu=1.5)",0.0,0.16319712156258032
187,GPC,20,"Matern(length_scale=7.5, nu=1.5)",0.0,0.3708497467642093
188,GPC,50,"Matern(length_scale=7.5, nu=1.5)",0.0,0.18202633085289066
189,GPC,100,"Matern(length_scale=7.5, nu=1.5)",0.0,0.10940876055784718
190,GPC,500,"Matern(length_scale=7.5, nu=1.5)",0.0,0.029555384219994863
191,GPC,20,"Matern(length_scale=10, nu=1.5)",0.0,0.4126805477396361
192,GPC,50,"Matern(length_scale=10, nu=1.5)",0.0,0.2156077084525853
193,GPC,100,"Matern(length_scale=10, nu=1.5)",0.0,0.11785503830288745
194,GPC,500,"Matern(length_scale=10, nu=1.5)",0.0,0.03546646106399383
195,GPC,20,"Matern(length_scale=25, nu=1.5)",0.017543859649122806,0.5876946163946727
196,GPC,50,"Matern(length_scale=25, nu=1.5)",0.006802721088435374,0.3197863003243656
197,GPC,100,"Matern(length_scale=25, nu=1.5)",0.0,0.1451581221763897
198,GPC,500,"Matern(length_scale=25, nu=1.5)",0.006680026720106882,0.039835517861732214
199,GPC,20,"Matern(length_scale=75, nu=1.5)",0.2631578947368421,0.6805477396360908
200,GPC,50,"Matern(length_scale=75, nu=1.5)",0.1904761904761905,0.4792978439229154
201,GPC,100,"Matern(length_scale=75, nu=1.5)",0.101010101010101,0.22078177175407585
202,GPC,500,"Matern(length_scale=75, nu=1.5)",0.05477621910487642,0.07478797224363917
203,GPC,20,"Matern(length_scale=1, nu=0.5)",0.0,0.4365034702682423
204,GPC,50,"Matern(length_scale=1, nu=0.5)",0.0,0.2156077084525853
205,GPC,100,"Matern(length_scale=1, nu=0.5)",0.0,0.09762325672755844
206,GPC,500,"Matern(length_scale=1, nu=0.5)",0.0,0.02878437419686456
207,GPC,20,"Matern(length_scale=7.5, nu=0.5)",0.0,0.40423935471768896
208,GPC,50,"Matern(length_scale=7.5, nu=0.5)",0.0,0.2543407746613242
209,GPC,100,"Matern(length_scale=7.5, nu=0.5)",0.0,0.1532115497937537
210,GPC,500,"Matern(length_scale=7.5, nu=0.5)",0.0,0.034438447699820095
211,GPC,20,"Matern(length_scale=10, nu=0.5)",0.0,0.5087225661226787
212,GPC,50,"Matern(length_scale=10, nu=0.5)",0.0,0.2663613814157604
213,GPC,100,"Matern(length_scale=10, nu=0.5)",0.0,0.1176586132390493
214,GPC,500,"Matern(length_scale=10, nu=0.5)",0.0,0.04369056797738372
215,GPC,20,"Matern(length_scale=25, nu=0.5)",0.0,0.5323579065841305
216,GPC,50,"Matern(length_scale=25, nu=0.5)",0.0,0.3842778095783248
217,GPC,100,"Matern(length_scale=25, nu=0.5)",0.0,0.2361029267334512
218,GPC,500,"Matern(length_scale=25, nu=0.5)",0.008684034736138945,0.05576972500642508
219,GPC,20,"Matern(length_scale=75, nu=0.5)",0.12280701754385966,0.6933033202025887
220,GPC,50,"Matern(length_scale=75, nu=0.5)",0.1292517006802721,0.4724289257775234
221,GPC,100,"Matern(length_scale=75, nu=0.5)",0.05050505050505051,0.3036731486937733
222,GPC,500,"Matern(length_scale=75, nu=0.5)",0.02338009352037408,0.06579285530711901
223,GPC,20,"Matern(length_scale=1, nu=2.5)",0.0,0.8503095104108047
224,GPC,50,"Matern(length_scale=1, nu=2.5)",0.0,0.8013737836290784
225,GPC,100,"Matern(length_scale=1, nu=2.5)",0.0,0.7198978589668041
226,GPC,500,"Matern(length_scale=1, nu=2.5)",0.0,0.4232845026985351
227,GPC,20,"Matern(length_scale=7.5, nu=2.5)",0.0,0.3462764959669856
228,GPC,50,"Matern(length_scale=7.5, nu=2.5)",0.0,0.18984926540736505
229,GPC,100,"Matern(length_scale=7.5, nu=2.5)",0.0,0.08898055391868002
230,GPC,500,"Matern(length_scale=7.5, nu=2.5)",0.0,0.02801336417373426
231,GPC,20,"Matern(length_scale=10, nu=2.5)",0.0,0.4053648471206153
232,GPC,50,"Matern(length_scale=10, nu=2.5)",0.0,0.21827895439801565
233,GPC,100,"Matern(length_scale=10, nu=2.5)",0.0,0.10508740915340796
234,GPC,500,"Matern(length_scale=10, nu=2.5)",0.0,0.0352094577229504
235,GPC,20,"Matern(length_scale=25, nu=2.5)",0.0,0.4717688988932658
236,GPC,50,"Matern(length_scale=25, nu=2.5)",0.006802721088435374,0.2944094638427781
237,GPC,100,"Matern(length_scale=25, nu=2.5)",0.006734006734006736,0.15576507562364958
238,GPC,500,"Matern(length_scale=25, nu=2.5)",0.015364061456245824,0.049601644821382684
239,GPC,20,"Matern(length_scale=75, nu=2.5)",0.456140350877193,0.7801538172950666
240,GPC,50,"Matern(length_scale=75, nu=2.5)",0.3741496598639456,0.6086624689944667
241,GPC,100,"Matern(length_scale=75, nu=2.5)",0.1414141414141414,0.266745236692202
242,GPC,500,"Matern(length_scale=75, nu=2.5)",0.05076820307281228,0.0765869956309432
243,GPC,20,"Matern(length_scale=7.5, nu=10)",0.0,0.29825548677546426
244,GPC,50,"Matern(length_scale=7.5, nu=10)",0.0,0.17630223239839726
245,GPC,100,"Matern(length_scale=7.5, nu=10)",0.0,0.08760557847181301
246,GPC,500,"Matern(length_scale=7.5, nu=10)",0.0,0.026471344127473657
247,GPC,20,RBF(length_scale=7.5),0.0,0.3016319639842431
248,GPC,50,RBF(length_scale=7.5),0.0,0.17592062583476434
249,GPC,100,RBF(length_scale=7.5),0.0,0.09624828128069142
250,GPC,500,RBF(length_scale=7.5),0.0,0.02595733744538679
251,GPR,20,"Matern(length_scale=7.5, nu=0.5)",0.0,0.33896079534796475
252,GPR,50,"Matern(length_scale=7.5, nu=0.5)",0.0,0.17553901927113147
253,GPR,100,"Matern(length_scale=7.5, nu=0.5)",0.0,0.0940876055784718
254,GPR,500,"Matern(length_scale=7.5, nu=0.5)",0.0,0.02261629401182216
255,GPR,20,"Matern(length_scale=7.5, nu=1.5)",0.0,0.38473081973363343
256,GPR,50,"Matern(length_scale=7.5, nu=1.5)",0.0,0.1619919862621637
257,GPR,100,"Matern(length_scale=7.5, nu=1.5)",0.0,0.10626595953643683
258,GPR,500,"Matern(length_scale=7.5, nu=1.5)",0.0,0.014649190439475712
259,GPR,20,"Matern(length_scale=7.5, nu=2.5)",0.0,0.41193021947101854
260,GPR,50,"Matern(length_scale=7.5, nu=2.5)",0.0,0.21217324937988927
261,GPR,100,"Matern(length_scale=7.5, nu=2.5)",0.0,0.10076605774896877
262,GPR,500,"Matern(length_scale=7.5, nu=2.5)",0.0,0.020303263942431253
263,GPR,20,"Matern(length_scale=7.5, nu=10)",0.0,0.3950478334271244
264,GPR,50,"Matern(length_scale=7.5, nu=10)",0.0,0.17572982255294792
265,GPR,100,"Matern(length_scale=7.5, nu=10)",0.0,0.10489098408956984
266,GPR,500,"Matern(length_scale=7.5, nu=10)",0.0,0.015420200462606013
267,GPR,20,RBF(length_scale=7.5),0.0,0.4070530857250048
268,GPR,50,RBF(length_scale=7.5),0.0,0.1959549704254913
269,GPR,100,RBF(length_scale=7.5),0.0,0.07699862502455312
270,GPR,500,RBF(length_scale=7.5),0.0,0.015420200462606013
271,GPR,20,"Matern(length_scale=10, nu=0.5)",0.0,0.35302945038454325
272,GPR,50,"Matern(length_scale=10, nu=0.5)",0.0,0.16580805189849265
273,GPR,100,"Matern(length_scale=10, nu=0.5)",0.0,0.08701630328029858
274,GPR,500,"Matern(length_scale=10, nu=0.5)",0.0,0.02030326394243125
275,GPR,1000,"Matern(length_scale=10, nu=0.5)",0.0,0.011292346298619823
276,GPR,1500,"Matern(length_scale=10, nu=0.5)",0.0,0.0101010101010101
277,GPC,1000,"Matern(length_scale=10, nu=0.5)",0.0,0.03805938937682978
278,GPC,1500,"Matern(length_scale=10, nu=0.5)",0.0008894818768067599,0.025813692480359147
279,GPR,1000,RBF(length_scale=7.5),0.0,0.012547051442910916
280,GPR,1500,RBF(length_scale=7.5),0.0,0.004489337822671156
281,GPR,1000,"Matern(length_scale=7.5, nu=0.5)",0.0,0.0150564617314931
282,GPR,1500,"Matern(length_scale=7.5, nu=0.5)",0.0,0.004489337822671156
283,GPR,1000,"Matern(length_scale=7.5, nu=1.5)",0.0,0.012128816394813884
284,GPR,1500,"Matern(length_scale=7.5, nu=1.5)",0.0,0.0101010101010101
285,GPR,1000,"Matern(length_scale=7.5, nu=2.5)",0.0,0.0071099958176495184
286,GPR,1500,"Matern(length_scale=7.5, nu=2.5)",0.0,0.006734006734006736
287,GPR,1000,"Matern(length_scale=7.5, nu=10)",0.0,0.010874111250522796
288,GPR,1500,"Matern(length_scale=7.5, nu=10)",0.0,0.004489337822671156
289,GPC,1000,"Matern(length_scale=7.5, nu=0.5)",0.0,0.028439983270598074
290,GPC,1500,"Matern(length_scale=7.5, nu=0.5)",0.0,0.030303030303030307
291,GPC,1000,"Matern(length_scale=7.5, nu=1.5)",0.0,0.02593057298201589
292,GPC,1500,"Matern(length_scale=7.5, nu=1.5)",0.0,0.019079685746352416
293,GPC,1000,"Matern(length_scale=7.5, nu=2.5)",0.0,0.017984107068172314
294,GPC,1500,"Matern(length_scale=7.5, nu=2.5)",0.0,0.011223344556677887
295,GPC,1000,"Matern(length_scale=7.5, nu=10)",0.0,0.015474696779590128
296,GPC,1500,"Matern(length_scale=7.5, nu=10)",0.0,0.017957351290684626
297,GPC,1000,RBF(length_scale=7.5),0.0,0.013801756587202008
298,GPC,1500,RBF(length_scale=7.5),0.0,0.019079685746352413
299,GPR,20,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.398799474770212
300,GPR,50,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.7317305857660752
301,GPR,100,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0033670033670033677,0.2431742290316244
302,GPR,500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.03473613894455578,0.08558211256746337
303,GPR,1000,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.05038371705038372,0.06482643245503973
304,GPR,1500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.053368912608405615,0.06509539842873176
305,GPR,20,"Matern(length_scale=1, nu=1.5)",0.0,0.340086287750891
306,GPR,50,"Matern(length_scale=1, nu=1.5)",0.0,0.18069070788017552
307,GPR,100,"Matern(length_scale=1, nu=1.5)",0.0,0.10390885877037913
308,GPR,500,"Matern(length_scale=1, nu=1.5)",0.0,0.02749935749164739
309,GPR,1000,"Matern(length_scale=1, nu=1.5)",0.0,0.012547051442910916
310,GPR,1500,"Matern(length_scale=1, nu=1.5)",0.0,0.0101010101010101
311,GPR,20,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.3691615081598199
312,GPR,50,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.14386567448960122
313,GPR,100,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.08721272834413672
314,GPR,500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.013878180416345412
315,GPR,1000,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.012547051442910918
316,GPR,1500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.01234567901234568
317,GPC,20,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.3774151191146127
318,GPC,50,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.18603319977103605
319,GPC,100,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.11392653702612456
320,GPC,500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.002004008016032064,0.06682086867129274
321,GPC,1000,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.006006006006006006,0.05437055625261397
322,GPC,1500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.008672448298865909,0.05274971941638608
323,GPC,1000,"Matern(length_scale=1, nu=1.5)",0.0,0.10079464659138436
324,GPC,1500,"Matern(length_scale=1, nu=1.5)",0.0,0.05050505050505051
325,GPC,20,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.5951978990808479
326,GPC,50,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.4508681549322648
327,GPC,100,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.2810842663523866
328,GPC,500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.11976355692624005
329,GPC,1000,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.07151819322459221
330,GPC,1500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.06397306397306397
331,GPC,20,"ExpSineSquared(length_scale=1, periodicity=1)",0.7719298245614035,0.905271056087038
332,GPC,50,"ExpSineSquared(length_scale=1, periodicity=1)",0.8639455782312925,0.9032627361190612
